SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_50_0,1225,2227804,617,99596,217,203820,121,101720,146,124682,405,189639,
seq_50_1,1225,194743,645,86721,220,201293,249,81379,307,92907,408,127057,
seq_50_2,1225,192127,595,79218,219,122617,372,47978,446,54160,418,54500,
seq_50_3,1225,177907,589,76184,223,120317,544,44167,555,50328,417,25259,
seq_50_4,1225,181829,614,77314,219,141592,771,56551,664,55055,417,24818,
seq_50_5,1225,171159,531,81892,221,69554,953,29355,769,36622,424,25603,
seq_50_6,1225,183459,672,80947,223,48099,1023,26413,873,32165,408,23395,
seq_50_7,1225,347081,642,81885,225,28291,1173,32449,991,35049,411,24733,
seq_50_8,1225,187767,585,72484,227,53615,1293,26047,1136,38038,414,24159,
seq_50_9,1225,177506,608,75865,219,32091,1410,29097,1240,26953,421,24598,
seq_50_10,1225,169486,516,67021,221,24852,1545,26694,1350,28941,424,23816,
seq_50_11,1225,184621,633,78592,218,38181,1675,27186,1473,30210,422,23193,
seq_50_12,1225,252180,660,82763,226,49455,1797,25692,1589,30050,417,23528,
seq_50_13,1225,177231,610,74266,218,23344,1979,32104,1720,29344,407,23663,
seq_50_14,1225,179198,622,77971,221,22795,2099,28338,1850,27828,418,22864,
seq_50_15,1225,167233,504,64644,222,23855,2195,61751,1947,33738,419,22938,
seq_50_16,1225,182890,643,77653,220,21305,2296,38615,2072,30027,411,22526,
seq_50_17,1225,169797,544,67708,229,22325,2472,8594,2200,10879,414,23814,
seq_50_18,1225,170905,537,67659,228,30902,2589,7388,2318,8826,414,23117,
seq_50_19,1225,198056,669,80893,223,21891,2681,7574,2493,9524,405,21859,
seq_50_20,1225,198864,565,73504,224,22323,2792,18095,2606,23993,413,84157,
seq_50_21,1225,212243,591,73638,225,52226,2898,9008,2738,9118,418,24474,
seq_50_22,1225,164773,471,62462,224,25013,3012,6543,2846,7725,422,23370,
seq_50_23,1225,189162,708,107741,218,69590,3125,32580,2963,8151,421,24340,
seq_50_24,1225,184060,485,60895,229,24758,3266,7240,3084,7818,413,24469,
seq_50_25,1225,178828,635,77479,221,21891,3382,6400,3190,6866,424,22381,
seq_50_26,1225,198200,577,69844,223,21504,3480,5784,3364,7396,432,23011,
seq_50_27,1225,197429,657,82032,218,23669,3633,6436,3486,6943,403,23742,
seq_50_28,1225,184094,495,63433,212,21059,3754,5497,3640,7586,425,56734,
seq_50_29,1225,198430,601,73378,223,22574,3941,7239,3759,6998,419,22288,
seq_50_30,1225,166310,481,63241,222,23219,4110,7490,3936,7813,426,23995,
seq_50_31,1225,210556,659,108872,218,28022,4305,7449,4048,7138,409,23219,
seq_50_32,1225,202551,515,63174,220,20740,4444,5964,4222,7225,412,23311,
seq_50_33,1225,168983,546,68326,227,22663,4549,5897,4322,6779,423,22693,
seq_50_34,1225,185705,692,85305,220,21090,4721,7536,4447,8283,417,22018,
seq_50_35,1225,178954,589,73601,227,48524,4838,7070,4563,6921,409,21826,
seq_50_36,1225,209086,609,74433,221,26877,4934,5725,4726,9346,423,23998,
seq_50_37,1225,235002,660,79046,224,22144,5065,6327,4808,6874,414,22352,
seq_50_38,1225,207508,678,82677,224,21605,5218,6130,4931,7412,416,50131,
seq_50_39,1225,229910,749,91238,219,22236,5323,6258,5056,6905,401,12678,
seq_50_40,1225,194540,569,69921,222,22351,5431,6185,5234,7306,410,12476,
seq_50_41,1225,178005,627,77695,220,21246,5576,6115,5353,6836,413,13496,
seq_50_42,1225,209954,639,80264,218,28089,5779,18782,5463,10872,413,14067,
seq_50_43,1225,183812,646,79336,225,28818,5902,7548,5568,7569,413,13861,
seq_50_44,1225,171731,567,71420,223,59657,6057,6464,5725,9396,425,13210,
seq_50_45,1225,268121,604,79020,213,23250,6197,6561,5835,6877,409,12266,
seq_50_46,1225,175063,592,71956,222,22692,6287,6068,5964,7011,417,12424,
seq_50_47,1225,188511,602,75349,221,22498,6435,5965,6118,9850,411,12807,
seq_50_48,1225,156106,511,65398,221,30309,6589,6249,6234,9500,420,13241,
seq_50_49,1225,55032,587,73493,227,25055,6719,9494,6345,8965,413,14808,
seq_50_50,1225,35504,696,86374,223,23331,6854,6886,6476,7264,416,13251,
seq_50_51,1225,32750,593,74773,220,22396,7000,6335,6627,7072,414,12835,
seq_50_52,1225,32445,669,83781,222,21348,7144,6754,6743,7774,395,12785,
seq_50_53,1225,32538,650,81870,219,22583,7249,6083,6867,6785,417,13564,
seq_50_54,1225,34861,642,79700,221,24688,7386,6020,6987,7620,416,12937,
seq_50_55,1225,32286,577,73737,222,38692,7522,29132,7102,7255,416,15286,
seq_50_56,1225,35026,674,83760,223,21681,7654,6444,7261,8098,409,12667,
seq_50_57,1225,32617,652,79441,223,21896,7776,6004,7458,8470,407,12772,
seq_50_58,1225,30713,517,64138,227,20877,7913,6330,7587,6723,424,12930,
seq_50_59,1225,31113,535,68794,218,32926,8069,6553,7694,7131,408,12718,
seq_50_60,1225,34810,641,76828,217,24360,8222,6417,7830,7118,403,12531,
seq_50_61,1225,31870,630,78229,221,21237,8344,6254,7979,7190,416,12832,
seq_50_62,1225,29876,474,61123,226,21339,8459,6209,8119,7429,411,12798,
seq_50_63,1225,32308,615,75521,224,21783,8591,6882,8236,7527,425,13066,
seq_50_64,1225,33208,603,78515,226,22088,8710,6589,8359,8122,415,13930,
seq_50_65,1225,33287,653,82255,228,33465,8817,13521,8487,9079,414,13589,
seq_50_66,1225,33772,640,81595,224,22817,8969,7316,8603,7308,422,13451,
seq_50_67,1225,33029,518,67473,223,22291,9067,6099,8764,8338,420,12995,
seq_50_68,1225,33134,608,76156,218,21796,9243,7295,8922,8129,406,12820,
seq_50_69,1225,29942,535,68067,224,20595,9359,6199,9021,7031,412,13465,
seq_50_70,1225,42699,658,85396,217,21559,9483,5953,9143,6987,408,13002,
seq_50_71,1225,32688,707,87731,220,21825,9567,5969,9268,7290,419,13382,
