SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_50_0,1225,2368346,541,86543,220,198063,140,134982,122,91953,418,191253,
seq_50_1,1225,216414,614,80219,223,205885,243,39245,218,58945,417,225100,
seq_50_2,1225,187323,554,96410,224,122482,372,39461,347,48650,419,80716,
seq_50_3,1225,189456,616,81362,226,132113,489,35215,497,47269,419,28422,
seq_50_4,1225,202516,578,72810,228,187091,604,54392,641,75875,417,68233,
seq_50_5,1225,187959,701,84759,219,66276,738,28109,778,37783,414,25032,
seq_50_6,1225,181957,612,77923,225,24760,814,25450,935,35280,413,23328,
seq_50_7,1225,176428,566,70184,219,34222,949,38950,1051,45901,410,40747,
seq_50_8,1225,203829,700,113286,222,50273,1095,46385,1185,40727,411,28620,
seq_50_9,1225,214789,706,88001,224,38829,1194,46051,1365,51356,421,38763,
seq_50_10,1225,187982,579,73398,219,54187,1319,9707,1501,56473,416,24839,
seq_50_11,1225,179095,619,96868,223,41702,1441,9284,1591,28522,408,23572,
seq_50_12,1225,187986,672,81508,224,23252,1560,7395,1735,32450,412,22504,
seq_50_13,1225,173788,586,72007,228,23135,1700,7554,1821,26792,413,24376,
seq_50_14,1225,202866,621,76128,225,21291,1814,7219,1969,27519,419,22601,
seq_50_15,1225,192979,650,77930,221,20774,1934,7397,2073,27588,414,21784,
seq_50_16,1225,185553,682,82165,222,22321,2069,7612,2222,46050,414,23030,
seq_50_17,1225,210299,703,83997,223,49335,2198,10289,2329,32236,413,25628,
seq_50_18,1225,179082,603,75624,216,22300,2316,7512,2432,9046,431,23351,
seq_50_19,1225,189991,542,70386,220,24694,2486,10107,2555,10712,412,23448,
seq_50_20,1225,187848,622,77063,220,23272,2573,17754,2650,15043,423,50080,
seq_50_21,1225,172217,577,71904,226,21163,2693,6284,2777,7172,420,59038,
seq_50_22,1225,244841,661,85174,223,61415,2798,7294,2874,8669,415,23815,
seq_50_23,1225,182394,532,69214,225,38931,2936,6469,2982,7556,422,23881,
seq_50_24,1225,254042,648,115590,218,27552,3063,6554,3157,8398,403,23332,
seq_50_25,1225,210361,651,78958,223,22349,3143,6472,3312,7234,424,24107,
seq_50_26,1225,193020,631,76166,225,23794,3297,6962,3426,7021,411,23554,
seq_50_27,1225,205629,663,81487,221,20749,3469,6338,3586,8766,410,23397,
seq_50_28,1225,175164,584,73981,229,22895,3627,6230,3691,6468,414,23287,
seq_50_29,1225,206468,693,85956,224,26267,3756,6693,3772,7802,408,23174,
seq_50_30,1225,206319,678,83792,216,21954,3857,6186,3894,7271,406,22438,
seq_50_31,1225,195884,712,86300,219,40628,3968,5983,4024,6985,416,22993,
seq_50_32,1225,201326,511,63549,223,20686,4130,6281,4261,8034,412,23642,
seq_50_33,1225,197552,636,78188,218,19987,4269,6040,4377,6650,412,22037,
seq_50_34,1225,203113,624,76954,230,23148,4428,6182,4508,7980,419,22230,
seq_50_35,1225,177118,611,73690,222,21117,4542,6777,4635,6724,417,22158,
seq_50_36,1225,207319,707,85998,224,20873,4673,7261,4729,6343,416,23362,
seq_50_37,1225,179564,587,72907,218,20545,4802,6115,4861,6459,418,22654,
