SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_50_0,1225,2242247,611,120209,218,208762,120,89051,95,101263,419,209304,
seq_50_1,1225,229577,711,138929,225,285572,267,56596,220,61610,416,149715,
seq_50_2,1225,281798,649,98115,218,210644,395,68231,301,69079,409,89349,
seq_50_3,1225,182847,598,77914,218,100527,503,36674,463,49598,422,42551,
seq_50_4,1225,238943,549,76305,221,92242,635,43340,567,52160,422,24966,
seq_50_5,1225,179508,600,76316,220,98502,781,29871,681,37289,416,26882,
seq_50_6,1225,163176,496,64426,218,70953,1017,37799,763,61099,415,24140,
seq_50_7,1225,194578,750,91267,217,29216,1108,33600,882,32271,411,23577,
seq_50_8,1225,179235,630,76964,222,23381,1258,32272,996,30884,411,23305,
seq_50_9,1225,179129,605,75707,218,23550,1356,8141,1140,31250,409,24957,
seq_50_10,1225,183682,690,85121,226,25301,1456,7595,1235,28640,419,23249,
seq_50_11,1225,172323,538,79693,227,51388,1599,8692,1358,51519,413,25233,
seq_50_12,1225,179710,598,103746,226,39262,1758,10949,1487,37801,417,26476,
seq_50_13,1225,216015,570,78420,220,72719,1866,9197,1639,35711,415,63058,
seq_50_14,1225,171661,517,67107,225,25966,1985,8980,1758,33654,414,24184,
seq_50_15,1225,183589,610,76382,224,27516,2123,9824,1910,55170,414,25859,
seq_50_16,1225,176185,578,137326,228,27849,2229,8195,2033,38920,415,24031,
seq_50_17,1225,173051,591,74742,220,23473,2354,8024,2113,9366,415,24123,
seq_50_18,1225,167307,494,72685,223,25353,2453,8738,2237,10262,422,26218,
seq_50_19,1225,180359,594,75266,227,29977,2619,10875,2343,10836,411,23376,
seq_50_20,1225,186378,662,101229,226,35295,2759,17236,2471,15380,416,53294,
seq_50_21,1225,178687,646,87300,224,27171,2862,6723,2622,8631,417,40378,
seq_50_22,1225,176876,630,76262,219,23170,2987,5933,2735,7556,424,23154,
seq_50_23,1225,214145,637,78443,223,26708,3083,6210,2866,7503,413,22926,
seq_50_24,1225,210940,624,77956,221,28105,3217,6846,2961,9921,408,25127,
seq_50_25,1225,179165,640,78958,222,22622,3366,6175,3138,7733,421,23035,
seq_50_26,1225,179065,596,76796,219,22757,3517,6475,3266,7159,422,22998,
seq_50_27,1225,170416,567,69406,219,27854,3613,18195,3381,7582,424,26892,
seq_50_28,1225,176723,603,75075,225,49219,3737,10984,3511,9111,415,30607,
seq_50_29,1225,182847,641,80225,219,24870,3835,6420,3642,7474,415,23224,
seq_50_30,1225,183252,639,113074,229,24902,3956,7847,3776,8622,419,24719,
seq_50_31,1225,232156,579,79400,226,43053,4051,24588,3923,23574,426,35572,
seq_50_32,1225,197625,535,68765,226,55666,4150,7502,4096,9321,421,28209,
seq_50_33,1225,173229,575,70987,221,22955,4271,6390,4197,7705,418,23073,
seq_50_34,1225,177960,636,77791,224,23116,4391,7514,4360,7610,409,22465,
seq_50_35,1225,188157,679,81915,222,29149,4506,10601,4501,8998,406,28721,
seq_50_36,1225,218409,660,78280,226,24452,4625,7132,4605,7300,417,25189,
seq_50_37,1225,196207,677,93798,219,32574,4758,9577,4786,8359,418,30754,
seq_50_38,1225,186413,697,84709,219,22829,4865,6262,4888,7081,412,23933,
seq_50_39,1225,190844,719,85987,228,25159,4992,6884,5000,7379,417,23418,
seq_50_40,1225,191751,631,80501,212,25527,5099,7123,5177,8907,420,18361,
seq_50_41,1225,182558,623,77035,227,22622,5300,6949,5299,7231,410,13480,
seq_50_42,1225,178353,626,77470,225,24668,5417,8676,5416,6964,418,13626,
seq_50_43,1225,186087,653,82806,220,40462,5547,6779,5513,6981,424,12833,
seq_50_44,1225,167517,524,66036,221,40431,5638,6393,5669,8068,410,12630,
seq_50_45,1225,181560,637,76727,220,23566,5739,5282,5806,6737,409,12269,
seq_50_46,1225,160431,463,60115,223,22918,5884,5937,5918,7941,420,12409,
seq_50_47,1225,197093,746,89564,218,21278,5967,6038,6020,7807,414,12335,
seq_50_48,1225,153547,589,72643,228,29844,6101,12760,6249,15769,412,22411,
seq_50_49,1225,57558,573,73624,218,28194,6220,7499,6380,8131,412,14327,
seq_50_50,1225,34385,742,89728,224,22761,6324,6213,6499,7987,412,12966,
seq_50_51,1225,31127,560,71807,221,25526,6433,8806,6675,8281,412,13719,
seq_50_52,1225,32701,636,157284,224,39614,6580,9168,6787,20186,414,24281,
seq_50_53,1225,32039,550,86658,210,29934,6707,7412,6962,8688,416,14168,
seq_50_54,1225,35253,641,81160,223,24612,6822,6675,7087,7720,415,38425,
seq_50_55,1225,30540,513,69465,222,26208,7037,8919,7265,9352,410,14527,
seq_50_56,1225,31646,600,72465,222,23464,7152,6743,7395,7546,417,12990,
seq_50_57,1225,32680,614,76949,219,37090,7321,7285,7526,7237,409,12517,
seq_50_58,1225,34036,747,91092,221,21846,7437,6162,7652,6995,402,12369,
seq_50_59,1225,30787,527,65276,216,21240,7524,5805,7753,6559,420,12282,
seq_50_60,1225,34118,683,85527,214,24823,7667,6389,7909,7277,416,12348,
seq_50_61,1225,34057,627,78793,219,22965,7791,5970,8020,6789,416,12588,
seq_50_62,1225,31290,565,69992,222,21028,7885,5285,8130,6929,413,12272,
seq_50_63,1225,31244,623,78642,221,22453,8018,6466,8243,7300,409,12352,
seq_50_64,1225,31298,531,86500,227,24294,8131,7979,8372,8121,411,13143,
seq_50_65,1225,32486,644,79281,224,34689,8242,7383,8494,7577,421,13016,
seq_50_66,1225,31920,525,67844,222,22915,8324,5754,8621,8214,422,12807,
seq_50_67,1225,31992,585,72216,223,23491,8420,6614,8745,6623,410,12126,
seq_50_68,1225,29574,513,65011,224,21624,8545,6064,8855,8121,414,12274,
seq_50_69,1225,31214,557,69831,220,21732,8687,6173,8955,6741,406,13554,
seq_50_70,1225,33017,629,84454,221,21823,8827,6526,9105,7344,423,12884,
seq_50_71,1225,33835,626,79431,218,22830,8926,7009,9224,8335,422,13939,
seq_50_72,1225,33445,726,93728,211,23168,9032,5759,9366,7414,420,12474,
seq_50_73,1225,35993,783,94317,222,24473,9187,6492,9471,6963,414,13252,
seq_50_74,1225,31636,524,70518,223,30261,9340,6188,9635,7715,426,12305,
seq_50_75,1225,31137,582,79240,224,22460,9509,6456,9792,7400,422,12822,
